region,experiment,year,mean_temp,anomaly
temperate,historical,1971,278.7860717773437,-0.2098205566406932
temperate,historical,1972,278.9231872558594,-0.07270507812501137
temperate,historical,1973,279.1784973144531,0.18260498046873863
temperate,historical,1974,279.1476745605469,0.15178222656248863
temperate,historical,1975,278.9415283203125,-0.05436401367188637
temperate,historical,1976,278.971923828125,-0.02396850585938637
temperate,historical,1977,279.12213134765625,0.12623901367186363
temperate,historical,1978,279.0931701660156,0.09727783203123863
temperate,historical,1979,278.8534240722656,-0.14246826171876137
temperate,historical,1980,278.8114929199219,-0.18439941406251137
temperate,historical,1981,279.1517028808594,0.15581054687498863
temperate,historical,1982,278.9324035644531,-0.06348876953126137
temperate,historical,1983,279.0173034667969,0.02141113281248863
temperate,historical,1984,278.9197998046875,-0.07609252929688637
temperate,historical,1985,278.79718017578125,-0.19871215820313637
temperate,historical,1986,279.2369689941406,0.24107666015623863
temperate,historical,1987,279.2683410644531,0.27244873046873863
temperate,historical,1988,279.4355773925781,0.43968505859373863
temperate,historical,1989,279.3760070800781,0.38011474609373863
temperate,historical,1990,279.3951721191406,0.39927978515623863
temperate,historical,1991,279.2345275878906,0.23863525390623863
temperate,historical,1992,279.1321716308594,0.13627929687498863
temperate,historical,1993,279.2862548828125,0.29036254882811363
temperate,historical,1994,279.3686218261719,0.37272949218748863
temperate,historical,1995,279.4956359863281,0.49974365234373863
temperate,historical,1996,279.3582763671875,0.36238403320311363
temperate,historical,1997,279.5806884765625,0.5847961425781136
temperate,historical,1998,279.5086364746094,0.5127441406249886
temperate,historical,1999,279.45721435546875,0.46132202148436363
temperate,historical,2000,279.6224060058594,0.6265136718749886
temperate,historical,2001,279.7797546386719,0.7838623046874886
temperate,historical,2002,280.063232421875,1.0673400878906136
temperate,historical,2003,279.7379455566406,0.7420532226562386
temperate,historical,2004,279.7703857421875,0.7744934082031136
temperate,historical,2005,279.84185791015625,0.8459655761718636
temperate,historical,2006,279.8022155761719,0.8063232421874886
temperate,historical,2007,279.96142578125,0.9655334472656136
temperate,historical,2008,279.9668884277344,0.9709960937499886
temperate,historical,2009,280.1271057128906,1.1312133789062386
temperate,historical,2010,279.9872741699219,0.9913818359374886
temperate,historical,2011,280.0697021484375,1.0738098144531136
temperate,historical,2012,280.0479736328125,1.0520812988281136
temperate,historical,2013,280.0747985839844,1.0789062499999886
temperate,historical,2014,280.2078552246094,1.2119628906249886
polar,historical,1850,252.9102783203125,-0.8562937418619754
polar,historical,1851,252.5948944091797,-1.1716776529947879
polar,historical,1852,253.0501251220703,-0.7164469401041629
polar,historical,1853,252.2161865234375,-1.5503855387369754
polar,historical,1854,252.4991607666016,-1.2674112955728845
